id,text_length,language
76797C,427,Dutch
76860B,385,Dutch
72572A,388,Dutch
71104A,437,Dutch
70146B,386,Dutch
72524A,352,Dutch
68179C,484,Dutch
68699B,403,Dutch
72279A,350,Dutch
70869B,406,Dutch
76586D,490,Dutch
77389B,505,Dutch
77173A,472,Dutch
72465C,406,Dutch
68008B,436,Dutch
76464A,492,Dutch
77109B,428,Dutch
75815C,446,Dutch
71950B,460,Dutch
69291D,391,Dutch
73349D,415,Dutch
69797C,345,Dutch
68131A,501,Dutch
77922B,367,Dutch
78333A,439,Dutch
71231A,429,Dutch
77318B,503,Dutch
79279A,336,Dutch
69083D,471,Dutch
80268B,501,Dutch
67062A,280,Dutch
79836C,443,Dutch
68214B,502,Dutch
68164B,344,Dutch
74368A,385,Dutch
79764B,466,Dutch
72336B,353,Dutch
75554B,456,Dutch
70147C,400,Dutch
79049B,487,Dutch
77366A,405,Dutch
77925A,456,Dutch
74817C,419,Dutch
72447F,475,Dutch
73516A,383,Dutch
72786A,416,Dutch
75106C,390,Dutch
72827B,367,Dutch
75170E,482,Dutch
73642C,402,Dutch
74059B,386,Dutch
69601B,394,Dutch
78065C,367,Dutch
73183A,460,Dutch
71384A,354,Dutch
74884A,452,Dutch
78250E,439,Dutch
70047C,418,Dutch
70640B,442,Dutch
74927A,359,Dutch
72169F,447,Dutch
71562B,482,Dutch
75186D,383,Dutch
79433C,436,Dutch
71004D,454,Dutch
72085B,355,Dutch
71734A,424,Dutch
73494B,384,Dutch
72656A,390,Dutch
79529C,403,Dutch
69609D,403,Dutch
76318C,467,Dutch
68236A,422,Dutch
78096C,415,Dutch
72363B,481,Dutch
72582,239,Dutch
76008B,476,Dutch
67576B,489,Dutch
78204B,364,Dutch
69437A,403,Dutch
78296B,457,Dutch
72356A,473,Dutch
79755A,512,Dutch
74098B,388,Dutch
75170A,482,Dutch
78531D,419,Dutch
75471B,421,Dutch
71599A,398,Dutch
71098C,437,Dutch
77814B,304,Dutch
79321B,397,Dutch
76299B,353,Dutch
73362B,456,Dutch
77473D,415,Dutch
76995C,486,Dutch
78313C,417,Dutch
68380A,456,Dutch
67683C,391,Dutch
78722A,380,Dutch
77717E,478,Dutch
72127C,370,Dutch
77224A,440,Dutch
71853C,391,Dutch
74914B,356,Dutch
75244B,433,Dutch
75799C,376,Dutch
73867B,510,Dutch
67537B,473,Dutch
75121A,506,Dutch
68908C,387,Dutch
70185A,474,Dutch
68430A,370,Dutch
78405B,443,Dutch
73688B,478,Dutch
71672B,296,Dutch
76112A,422,Dutch
74548C,508,Dutch
78571C,448,Dutch
76670C,491,Dutch
78694C,495,Dutch
75727D,393,Dutch
74077A,479,Dutch
79910D,427,Dutch
71812C,444,Dutch
78690B,324,Dutch
67911B,392,Dutch
78267C,502,Dutch
77523B,409,Dutch
76129A,390,Dutch
74886A,438,Dutch
70137B,481,Dutch
70236C,448,Dutch
71242C,457,Dutch
75522A,465,Dutch
76916B,386,Dutch
75588B,412,Dutch
72307A,469,Dutch
77571B,435,Dutch
76190,212,Dutch
69724A,448,Dutch
74670B,437,Dutch
79584C,392,Dutch
74272B,359,Dutch
69109C,423,Dutch
72998D,429,Dutch
69224B,350,Dutch
68207A,456,Dutch
78675A,339,Dutch
67966A,400,Dutch
80188D,413,Dutch
73747C,436,Dutch
78690A,325,Dutch
77664C,417,Dutch
77858B,495,Dutch
78882C,398,Dutch
76523C,495,Dutch
67410C,470,Dutch
69818C,460,Dutch
71668B,332,Dutch
77458A,358,Dutch
71254A,420,Dutch
70842C,389,Dutch
76741A,267,Dutch
75425A,353,Dutch
70596A,372,Dutch
67406C,405,Dutch
70349B,424,Dutch
70475B,338,Dutch
72387A,351,Dutch
69860C,354,Dutch
67308A,349,Dutch
69330B,387,Dutch
76934B,498,Dutch
74303B,267,Dutch
71173A,368,Dutch
79842C,416,Dutch
70029A,450,Dutch
72963E,409,Dutch
68257,400,Dutch
80097C,397,Dutch
67601C,490,Dutch
71845A,394,Dutch
76742B,479,Dutch
71570,404,Dutch
77042A,323,Dutch
76619B,387,Dutch
75425C,353,Dutch
77632B,370,Dutch
70917A,397,Dutch
74971C,471,Dutch
76115C,461,Dutch
67929B,494,Dutch
70174A,394,Dutch
67346A,489,Dutch
74574A,337,Dutch
73773A,443,Dutch
68584C,463,Dutch
79628,408,Dutch
75893B,415,Dutch
75396C,426,Dutch
52756C,468,English
50777B,428,English
51082C,365,English
49455A,449,English
46440A,347,English
41319C,434,English
44796A,472,English
53156B,495,English
44125C,447,English
53099C,432,English
49237B,504,English
46307A,491,English
51782B,474,English
46157A,442,English
50678D,465,English
45039C,413,English
43054C,453,English
44285A,362,English
53446B,433,English
50502C,427,English
47778D,434,English
53311B,482,English
41715C,416,English
51536B,440,English
42054B,403,English
50816B,354,English
42479C,469,English
52469B,505,English
46582E,441,English
41299B,385,English
49217C,457,English
47102B,398,English
45917A,452,English
46335B,498,English
45919B,401,English
44114,472,English
46005B,393,English
50336B,332,English
42944B,454,English
44297C,497,English
49108,488,English
51907A,277,English
50739C,432,English
42127C,427,English
46596A,431,English
43870B,439,English
47858B,511,English
46190A,347,English
49170A,501,English
43106B,456,English
45228L,505,English
48113C,463,English
44417B,482,English
53397D,467,English
48053A,462,English
53517A,366,English
52178B,348,English
41885C,374,English
41549B,464,English
50139D,445,English
49189B,447,English
46578B,486,English
41491A,353,English
42035B,426,English
51852C,458,English
53520D,416,English
50753A,392,English
45645B,399,English
50880E,431,English
42020C,387,English
51858B,381,English
45185C,396,English
48109A,478,English
51521A,446,English
44341B,391,English
47464A,461,English
49488C,405,English
47817E,490,English
47679A,389,English
52462C,345,English
46789A,346,English
47861B,449,English
51571A,451,English
51163A,465,English
40867B,501,English
43590D,452,English
53528D,394,English
50924C,394,English
42642D,466,English
51339C,436,English
46766C,363,English
40897A,383,English
41699A,306,English
43405B,448,English
50179A,490,English
43734A,359,English
52886C,446,English
49726B,475,English
49538B,436,English
46212C,418,English
42612A,447,English
52276A,394,English
49190A,468,English
52936A,454,English
52059B,453,English
42184B,393,English
52256A,482,English
49795B,363,English
47900A,456,English
42753B,456,English
46854B,405,English
42209A,398,English
51636B,494,English
47059C,495,English
48469B,420,English
41239D,427,English
40959B,435,English
45031B,385,English
50886B,360,English
45466B,368,English
46123,506,English
43178B,498,English
49708B,372,English
52023A,344,English
46431A,392,English
43079A,471,English
44049C,409,English
42030A,416,English
44776C,457,English
47209F,427,English
42164C,490,English
51626B,462,English
47717B,489,English
46706A,431,English
46645B,507,English
45104A,480,English
44626E,414,English
52169B,409,English
50572D,387,English
43953A,472,English
42029B,482,English
47323B,351,English
48429B,300,English
43739B,458,English
44019C,433,English
53498B,481,English
46070B,475,English
47531A,454,English
47908C,474,English
50261C,377,English
51175A,485,English
49128C,465,English
50370D,490,English
44995C,504,English
47733D,419,English
42007B,365,English
47646B,331,English
45122B,405,English
47429A,291,English
41005A,389,English
52321A,344,English
51239A,416,English
43225E,483,English
44378B,372,English
52396B,475,English
45994B,452,English
41729D,389,English
42211C,426,English
41396B,362,English
42245C,402,English
48212D,475,English
44977B,456,English
52785A,353,English
47188A,394,English
48644B,268,English
50595,329,English
41792A,366,English
48715A,493,English
44303B,499,English
45461F,463,English
46125A,334,English
43887A,377,English
44029D,434,English
45117C,396,English
52585B,463,English
44276D,494,English
45164A,371,English
46648,341,English
52547A,390,English
45228J,505,English
51272B,347,English
42429C,412,English
50436B,421,English
44620B,287,English
47678A,456,English
52314B,504,English
51192,157,English
46993C,396,English
40885C,363,English
52475A,400,English
537A,486,French
951E,447,French
7623D,419,French
7687C,345,French
12722A,398,French
4666B,403,French
12658A,425,French
7046B,416,French
8948C,362,French
13572A,399,French
6353A,362,French
10727A,512,French
2621B,426,French
7272C,443,French
9684C,500,French
5364D,430,French
803B,473,French
7802B,450,French
443A,433,French
7796B,508,French
9710C,387,French
164A,281,French
8134A,389,French
1001C,454,French
2297D,483,French
13703B,438,French
5626B,453,French
9836B,483,French
5266C,484,French
1539C,452,French
6734B,450,French
5805C,354,French
12453A,455,French
738B,505,French
4601E,479,French
12948A,307,French
3210C,435,French
6122C,447,French
13120E,437,French
12491B,485,French
1863D,485,French
13501C,503,French
8311B,461,French
7925A,412,French
7757B,452,French
4882Q,484,French
5937E,434,French
7309B,439,French
2872C,400,French
11448B,470,French
5780B,345,French
6619B,454,French
3029C,468,French
3368C,378,French
490B,268,French
4570C,449,French
11212B,418,French
4185A,368,French
9736E,460,French
465B,411,French
5630B,434,French
7017C,403,French
13294B,355,French
12487E,469,French
8687C,376,French
12420D,483,French
6098B,452,French
737A,406,French
11295A,307,French
10659C,392,French
13483B,324,French
2013C,473,French
10903A,491,French
6406C,410,French
1860A,420,French
6765A,441,French
5155A,470,French
1282C,495,French
9643C,410,French
2822A,357,French
11588C,469,French
8338A,390,French
8967B,443,French
8178A,503,French
13665B,460,French
9384A,494,French
3660B,375,French
3515A,392,French
3828C,503,French
13644A,504,French
5283B,486,French
11160C,424,French
9952C,443,French
12622C,387,French
3593B,346,French
5342B,474,French
9510C,374,French
13694A,463,French
8142A,494,French
5812A,499,French
10199C,420,French
1277B,390,French
2110D,453,French
9238B,497,French
11588B,470,French
10967B,323,French
13532B,408,French
6430,484,French
6364A,479,French
5502B,471,French
5166A,487,French
9901A,444,French
4997A,497,French
12669A,460,French
1203C,397,French
4780B,476,French
10264C,484,French
1342A,426,French
9442D,440,French
4696A,480,French
9320A,463,French
1848F,453,French
11480A,421,French
1567A,443,French
8702B,391,French
10053A,425,French
794B,263,French
4953D,440,French
10553C,450,French
11224B,388,French
9646C,437,French
4314C,382,French
11773,315,French
1428C,419,French
10300A,487,French
6960A,425,French
3468C,382,French
13636D,466,French
11593,480,French
54B,389,French
6990B,473,French
11559A,441,French
5777A,426,French
1272A,368,French
7143A,419,French
814B,474,French
6717C,433,French
6505B,448,French
10367B,488,French
5004D,474,French
4930C,406,French
3140B,477,French
5266A,485,French
6891B,494,French
7365D,434,French
4672B,496,French
12335B,405,French
8956D,442,French
7724C,420,French
12457B,379,French
8781B,443,French
6617D,383,French
9175A,366,French
13521C,395,French
541A,510,French
6418B,442,French
12029C,404,French
969E,468,French
5496B,352,French
1844E,433,French
4142A,460,French
8280E,484,French
9256C,410,French
11332B,278,French
13052B,482,French
8272,468,French
12976C,447,French
4108B,392,French
3597B,437,French
3777F,507,French
5605B,350,French
3445A,440,French
10284C,349,French
13751D,397,French
558C,418,French
716B,403,French
4171B,398,French
7952B,279,French
7341C,385,French
9150C,362,French
10691B,395,French
12628C,351,French
2778B,457,French
11909C,399,French
10720C,381,French
3915B,468,French
6605B,409,French
2984B,498,French
1693B,297,French
834A,501,French
24262A,387,German
25143C,440,German
23020C,446,German
20183C,391,German
21078B,320,German
26533C,460,German
14618A,389,German
23750D,419,German
24951A,458,German
25718A,395,German
23756F,484,German
16866B,448,German
15234,316,German
15962C,471,German
16491A,438,German
24362B,503,German
16727C,508,German
26236C,396,German
16882C,424,German
26836C,360,German
23960B,481,German
20574C,367,German
22402B,300,German
20303B,442,German
15850C,410,German
16197B,425,German
18882B,397,German
21760C,459,German
19920A,397,German
22953D,431,German
19195B,396,German
18900B,470,German
17240B,457,German
15014D,416,German
19706E,430,German
26077A,270,German
21459C,420,German
25514B,370,German
23703C,482,German
17361B,371,German
25365B,347,German
24148D,457,German
21517C,468,German
18652B,503,German
23481C,358,German
24568A,432,German
20773C,424,German
26847B,436,German
26428C,376,German
26823C,440,German
16875A,453,German
23677B,262,German
14604A,350,German
25466C,506,German
23767D,406,German
22327A,411,German
14029A,395,German
22991D,389,German
17066A,393,German
15374A,470,German
23444B,411,German
22242A,489,German
20303A,442,German
27370B,299,German
24452B,465,German
27035A,437,German
23765A,354,German
18414,509,German
20971B,397,German
20649B,369,German
25768B,467,German
14566F,490,German
27656B,506,German
25598B,422,German
18345B,373,German
26520C,425,German
15673B,363,German
17253B,380,German
23389B,362,German
21634A,388,German
23951A,509,German
19570B,449,German
26719B,493,German
20682A,509,German
26071D,395,German
22866C,440,German
16561A,412,German
22462D,478,German
25212D,387,German
21232B,412,German
14002A,384,German
24599C,429,German
21284D,470,German
23641,505,German
20760C,459,German
14991C,417,German
20723A,480,German
15258B,409,German
20857A,380,German
27071B,367,German
14756B,333,German
21736A,505,German
19886A,429,German
22591B,447,German
27000C,410,German
21564A,352,German
17247C,390,German
22703B,437,German
23158C,437,German
27619D,448,German
26348,374,German
17596B,321,German
24783A,417,German
25300A,408,German
24199B,377,German
23782B,359,German
26143A,390,German
26335C,443,German
26459B,342,German
24126B,460,German
21100B,435,German
25563A,472,German
15060B,378,German
23862A,456,German
22935C,393,German
20785B,444,German
16750B,259,German
15173A,355,German
20458A,474,German
20792B,470,German
22337,397,German
20232B,388,German
21677A,408,German
20565B,439,German
16994A,392,German
20356B,407,German
21310A,493,German
19030A,402,German
25226C,444,German
14803A,457,German
15083E,420,German
19755B,409,German
19255C,393,German
21258B,435,German
15272A,444,German
19922A,481,German
14528D,421,German
15655A,324,German
22543A,369,German
21384D,424,German
21202C,477,German
27593C,448,German
15978A,358,German
18694B,343,German
23730B,488,German
17848A,486,German
21113A,490,German
23738C,491,German
26863,338,German
14134A,345,German
23854A,442,German
14936B,421,German
18194A,435,German
16221D,502,German
25764B,297,German
17581A,461,German
18932B,435,German
16375F,473,German
19387A,475,German
22267B,394,German
27406A,498,German
15938B,333,German
22393B,371,German
26376D,390,German
21963A,459,German
20643,456,German
19775C,432,German
20385D,416,German
25521B,381,German
25741A,465,German
25165A,430,German
20844C,466,German
18688A,429,German
22605B,294,German
18091A,505,German
26142B,428,German
24620B,300,German
24795B,503,German
23519D,447,German
24867C,425,German
20573B,357,German
14096B,386,German
24314C,419,German
19900B,380,German
23399A,388,German
17022B,462,German
21371A,429,German
19720B,392,German
15325A,425,German
21118B,346,German
65146B,445,Italian
57251A,282,Italian
62361A,289,Italian
60340B,345,Italian
54271A,427,Italian
62999A,332,Italian
59208C,421,Italian
56546E,469,Italian
62195A,473,Italian
63837C,421,Italian
55074B,458,Italian
56799B,496,Italian
61977C,457,Italian
55608A,451,Italian
56331B,450,Italian
57799C,366,Italian
53733B,470,Italian
64476,295,Italian
60746B,418,Italian
59782C,392,Italian
57879B,450,Italian
62348A,508,Italian
65162B,482,Italian
54854D,472,Italian
54537C,453,Italian
66888D,422,Italian
59434B,401,Italian
57418C,401,Italian
55458A,360,Italian
55992D,480,Italian
56701A,291,Italian
62180D,455,Italian
57232,473,Italian
58255A,429,Italian
54490B,428,Italian
60696C,435,Italian
63359B,511,Italian
57313D,478,Italian
59660A,384,Italian
60970C,495,Italian
54174E,473,Italian
60511B,409,Italian
61623D,512,Italian
57791B,340,Italian
61705A,382,Italian
64075B,499,Italian
58931A,415,Italian
65496B,427,Italian
62783C,447,Italian
56101B,256,Italian
61320C,455,Italian
57510D,509,Italian
66441C,431,Italian
66963A,463,Italian
62079A,373,Italian
58257A,495,Italian
54694A,429,Italian
57987A,340,Italian
55178B,373,Italian
60452C,378,Italian
59857A,459,Italian
65054B,511,Italian
60834A,343,Italian
56301B,400,Italian
56006A,474,Italian
63585,349,Italian
54769B,470,Italian
59153A,425,Italian
60852C,350,Italian
64181,485,Italian
58499,397,Italian
58091A,432,Italian
56241B,421,Italian
61504D,414,Italian
54335A,361,Italian
54752A,266,Italian
59512B,471,Italian
63850A,408,Italian
56163H,484,Italian
66997B,463,Italian
59069,401,Italian
61434A,394,Italian
58646B,450,Italian
62844A,502,Italian
60829A,374,Italian
64874,416,Italian
58454A,411,Italian
55694A,497,Italian
61104,409,Italian
56866B,405,Italian
60115C,468,Italian
63629,253,Italian
65121C,345,Italian
57640A,469,Italian
56141C,461,Italian
65267A,393,Italian
55129B,435,Italian
57519B,405,Italian
62128F,483,Italian
58294A,385,Italian
65212B,366,Italian
59076D,444,Italian
64286A,399,Italian
60094A,432,Italian
66409B,303,Italian
62202D,473,Italian
53954B,395,Italian
63025C,381,Italian
55630B,427,Italian
63541D,397,Italian
59372A,487,Italian
62460B,508,Italian
61563B,441,Italian
54317B,410,Italian
63003B,390,Italian
55323C,479,Italian
66780B,450,Italian
54289A,385,Italian
57443C,488,Italian
62372C,482,Italian
60659B,327,Italian
66203A,375,Italian
54196C,396,Italian
58150A,448,Italian
58454C,410,Italian
64246A,502,Italian
57213B,341,Italian
60500C,497,Italian
64111B,484,Italian
57166B,478,Italian
60316D,445,Italian
65692E,464,Italian
63133A,478,Italian
58442C,471,Italian
63675A,453,Italian
65109C,486,Italian
64088A,372,Italian
65454B,463,Italian
62195H,472,Italian
56005B,399,Italian
61903B,407,Italian
64406B,427,Italian
56659A,357,Italian
54664A,449,Italian
60164F,488,Italian
56696A,307,Italian
62779A,462,Italian
65776,384,Italian
62126B,350,Italian
59177B,365,Italian
55360B,409,Italian
56888A,453,Italian
64333A,472,Italian
54765A,483,Italian
58819B,418,Italian
63810B,440,Italian
56071A,409,Italian
65966A,339,Italian
57404C,453,Italian
59303C,355,Italian
58229B,448,Italian
66654A,477,Italian
55235C,357,Italian
62190D,390,Italian
62706A,433,Italian
58790D,388,Italian
66219C,433,Italian
60025B,421,Italian
62637B,497,Italian
58478B,454,Italian
63485A,354,Italian
55625D,444,Italian
59074B,484,Italian
61869C,464,Italian
60722C,450,Italian
58919G,458,Italian
65003B,411,Italian
63044B,393,Italian
59569B,482,Italian
64587A,503,Italian
54506C,422,Italian
62263C,409,Italian
61324D,425,Italian
53951A,432,Italian
63664C,425,Italian
56769A,493,Italian
64321B,465,Italian
58240A,445,Italian
62787E,448,Italian
56144A,352,Italian
57988C,490,Italian
60847B,458,Italian
54268B,498,Italian
60292E,479,Italian
61749B,424,Italian
63796B,501,Italian
57487B,383,Italian
61518C,439,Italian
64422C,418,Italian
57108B,485,Italian
29618B,439,Spanish
38360A,423,Spanish
35034B,457,Spanish
31410C,493,Spanish
32031B,390,Spanish
29720E,485,Spanish
33881C,446,Spanish
37410A,389,Spanish
29702A,385,Spanish
34775A,417,Spanish
31864D,416,Spanish
38232A,424,Spanish
35244A,473,Spanish
38827,488,Spanish
31459A,402,Spanish
35826B,491,Spanish
30495A,455,Spanish
39771B,510,Spanish
40258C,438,Spanish
37741C,441,Spanish
38121A,418,Spanish
30968A,345,Spanish
30362F,472,Spanish
31041B,423,Spanish
37588C,385,Spanish
32465B,442,Spanish
31303D,436,Spanish
39146A,420,Spanish
28844D,414,Spanish
34380A,459,Spanish
39985B,402,Spanish
30510C,348,Spanish
36682B,421,Spanish
28039B,421,Spanish
31770B,374,Spanish
29023A,286,Spanish
32778C,392,Spanish
37384C,357,Spanish
39572A,457,Spanish
29323B,415,Spanish
33178B,409,Spanish
32029B,487,Spanish
36986C,414,Spanish
39519A,404,Spanish
34053A,325,Spanish
33890A,394,Spanish
37965B,418,Spanish
32975C,377,Spanish
38416C,425,Spanish
31485B,511,Spanish
30615E,451,Spanish
37672C,393,Spanish
33437B,401,Spanish
34478C,466,Spanish
37457A,459,Spanish
37633C,495,Spanish
39864A,440,Spanish
34780A,366,Spanish
28159C,385,Spanish
36252C,443,Spanish
38750B,329,Spanish
31224C,474,Spanish
28372C,399,Spanish
40740A,392,Spanish
34451C,399,Spanish
36851A,489,Spanish
37239B,329,Spanish
36061,394,Spanish
31189B,509,Spanish
36446A,496,Spanish
32244C,434,Spanish
37257B,353,Spanish
37490C,412,Spanish
37787C,450,Spanish
32061B,498,Spanish
34683B,399,Spanish
38681D,476,Spanish
37917C,394,Spanish
29741C,425,Spanish
39644A,488,Spanish
37880C,502,Spanish
33331A,469,Spanish
38741A,467,Spanish
39927A,381,Spanish
32933A,394,Spanish
31519A,361,Spanish
33465B,393,Spanish
32900C,464,Spanish
34254C,396,Spanish
38597C,361,Spanish
33568C,405,Spanish
35023B,462,Spanish
37237A,279,Spanish
36044C,405,Spanish
36373A,283,Spanish
36977A,259,Spanish
28167A,361,Spanish
29667A,440,Spanish
34863C,453,Spanish
35934C,480,Spanish
37401A,388,Spanish
32059C,413,Spanish
33678B,357,Spanish
34100B,491,Spanish
39555A,355,Spanish
31015D,395,Spanish
33195D,479,Spanish
34906B,484,Spanish
39963B,409,Spanish
40511B,479,Spanish
37820,320,Spanish
36712C,492,Spanish
31254C,492,Spanish
36254C,432,Spanish
37368A,362,Spanish
37565B,394,Spanish
34915A,507,Spanish
34333A,263,Spanish
34361B,510,Spanish
39168A,472,Spanish
32155A,377,Spanish
30227A,509,Spanish
33762B,387,Spanish
38908C,456,Spanish
36602D,459,Spanish
28760,440,Spanish
30561B,505,Spanish
27710C,501,Spanish
35620B,468,Spanish
37364B,433,Spanish
34348C,497,Spanish
33909C,405,Spanish
35675B,376,Spanish
39864D,439,Spanish
37680A,354,Spanish
32038E,503,Spanish
33464A,418,Spanish
32042,221,Spanish
33336,504,Spanish
31813A,456,Spanish
34559B,416,Spanish
38550A,371,Spanish
35747B,406,Spanish
37991B,448,Spanish
35330B,386,Spanish
29608A,360,Spanish
40236B,385,Spanish
29634C,391,Spanish
39568A,476,Spanish
28045D,391,Spanish
37184B,461,Spanish
34747C,392,Spanish
35843C,494,Spanish
35353A,433,Spanish
36877B,464,Spanish
40352A,401,Spanish
39857A,483,Spanish
39093D,468,Spanish
32176C,397,Spanish
33899A,418,Spanish
37117B,401,Spanish
29661B,415,Spanish
38683C,440,Spanish
32593A,374,Spanish
39975A,396,Spanish
33820E,445,Spanish
35883B,428,Spanish
37848C,389,Spanish
27869,420,Spanish
35835B,353,Spanish
28702B,377,Spanish
28329A,475,Spanish
33387A,386,Spanish
33057C,411,Spanish
33384D,430,Spanish
37532C,371,Spanish
40199B,376,Spanish
32542B,318,Spanish
38216B,404,Spanish
37709C,453,Spanish
30532B,384,Spanish
29961A,505,Spanish
30869A,359,Spanish
39414C,405,Spanish
34332B,390,Spanish
29637B,451,Spanish
36663A,439,Spanish
34087C,361,Spanish
38448A,434,Spanish
29882A,474,Spanish
34026B,429,Spanish
37323,314,Spanish
30453C,392,Spanish
38789A,470,Spanish
37060A,440,Spanish
31302B,379,Spanish
39075B,512,Spanish
30504C,400,Spanish
31112A,433,Spanish
30694D,464,Spanish
